scenario,fuzzer_type,algorithm,total_vuln_events,unique_vuln_types_count,avg_vuln_types_per_trigger_iter,count_qos_violations,count_ping_pong,count_unfairness,mean_avg_overall_sinr,std_avg_overall_sinr,min_avg_overall_sinr,max_avg_overall_sinr,mean_avg_high_prio_sinr,std_avg_high_prio_sinr,min_avg_high_prio_sinr,max_avg_high_prio_sinr,mean_fairness_index,std_fairness_index,min_fairness_index,max_fairness_index,mean_handover_count_iter,std_handover_count_iter,min_handover_count_iter,max_handover_count_iter,mean_num_ues_below_qos,std_num_ues_below_qos,min_num_ues_below_qos,max_num_ues_below_qos,mean_sinr_5th_percentile,std_sinr_5th_percentile,min_sinr_5th_percentile,max_sinr_5th_percentile,mean_sinr_50th_percentile,std_sinr_50th_percentile,min_sinr_50th_percentile,max_sinr_50th_percentile,mean_sinr_95th_percentile,std_sinr_95th_percentile,min_sinr_95th_percentile,max_sinr_95th_percentile,mean_load_min,std_load_min,min_load_min,max_load_min,mean_load_max,std_load_max,min_load_max,max_load_max,mean_load_std,std_load_std,min_load_std,max_load_std,group_extreme_low_5th_sinr,group_extreme_high_95th_sinr,group_very_low_indiv_sinr,group_very_high_indiv_sinr
High Load,AI,baseline,146,30,1.46,0,46,100,13.131022316927712,5.204087843155252,1.0113878051439922,26.56453993320465,11.273782337879142,7.2586732299619605,0.418033296863238,32.601709266503654,0.17570526512899506,0.07251943541090863,0.0729197506536596,0.3965312595694185,6.18,1.8498157156371502,2,11,2.78,1.5607560975244006,0,7,-6.1375062433332195,7.141526201167959,-32.08860740661621,3.5678115367889407,6.698023880124092,3.14447915878609,0.1658730804920196,16.229537963867188,52.53696169853207,23.995161978900864,14.318878746032713,107.9788749694824,0.19999999999999996,0.061408824862911764,0.0666666666666666,0.3333333333333333,0.4800000000000001,0.0769800358919501,0.3333333333333333,0.7333333333333333,0.11991594523512118,0.055705012470718365,0.0,0.2880329199292382,True,True,True,True
High Load,AI,utility,152,34,1.6,3,67,82,25.37040277313582,9.488651149374478,7.590727923313777,52.32440191904704,30.537035815290483,16.77831981174262,-3.2923293113708496,69.3920218149821,0.3026693255670768,0.11578079595894662,0.0778033183635966,0.6375908173966727,6.89,2.0689869672637067,1,12,2.08,1.300194235683673,0,5,-5.5607409156132475,7.756894241161498,-37.58277740478516,12.492770862579349,11.048793003559112,6.425554479275982,2.547565698623657,34.396942138671875,91.3965180149078,25.577940959715697,29.650747871398927,130.82150726318358,0.21066666666666664,0.0674832148561227,0.0666666666666666,0.3333333333333333,0.462,0.07595556619441857,0.3333333333333333,0.7333333333333333,0.10830141874928201,0.05689025435548971,0.0,0.2880329199292382,True,True,True,True
High Load,Random,baseline,153,43,1.5612244897959184,11,46,96,18.99612465477735,8.786049877651156,5.051651851336161,39.264210282762846,21.46436944966515,15.848249143784136,-7.834843089183171,62.97908023993174,0.22991825817753062,0.08445508262758508,0.0767489763884019,0.4263490610448144,5.97,1.8933962857652105,2,11,2.45,1.6414763002993509,0,6,-7.788991074966265,11.759254226177307,-39.42296924591064,5.439442348480225,8.072718006372451,3.364727107809567,0.7774332761764526,18.78483772277832,73.37650896167752,31.054287489287127,20.36180362701416,120.2110321044921,0.2266666666666666,0.061408824862911764,0.0666666666666666,0.3333333333333333,0.45333333333333337,0.07400670336975435,0.3333333333333333,0.6666666666666666,0.09766114138094498,0.05527949577981642,0.0,0.2494438257849294,True,True,True,True
High Load,Random,utility,190,47,1.9,9,83,98,20.12452223626773,10.39434960370252,-7.98094672759374,43.13579909006754,20.578151501131558,14.993815352779267,-8.769886831442514,51.057512839635216,0.24574235947310613,0.08790467470291345,0.0717244916390021,0.4748002193878694,7.92,2.154065922853802,4,13,2.91,1.990355533947428,0,7,-12.918878186337649,15.80081727471436,-51.02910804748535,5.612801742553711,8.031682456731795,4.455733446908555,1.0244364738464355,21.29258346557617,83.88625162553782,27.692478633026177,9.610402154922472,121.11266708374022,0.21666666666666662,0.05869895040714195,0.0666666666666666,0.3333333333333333,0.4653333333333333,0.07579285373892454,0.3333333333333333,0.6666666666666666,0.10651786184924213,0.05445252392836288,0.0,0.2494438257849294,True,True,True,True
High Mobility,AI,baseline,150,42,1.5,10,44,96,9.128566136019927,8.629554064037961,-12.124894404162964,33.335029339790346,10.430913012527553,9.29472459292587,-2.7667518742382526,34.66567134857178,0.1869862390052125,0.10153779562458033,0.071206435526478,0.4652012717023647,6.3,1.7085642859406605,2,11,2.96,1.6012621284600483,0,8,-19.540912989892067,23.804795661738893,-80.03597106933594,2.6122927188873293,5.7496821728348735,3.3680870980288975,-1.1206711530685425,16.871206283569336,45.84126133060454,27.03300985192751,6.691194915771478,102.00715026855468,0.20533333333333328,0.05738796238508176,0.0666666666666666,0.3333333333333333,0.4733333333333334,0.07309112127323451,0.3333333333333333,0.7333333333333333,0.1149396245594649,0.051646961618524535,0.0,0.2880329199292382,True,True,True,True
High Mobility,AI,utility,213,73,2.173469387755102,35,89,89,9.393838440762211,15.993369615423084,-36.11856191953023,43.409264810880025,12.256514218176406,25.904558989245345,-47.63139200210571,64.25132735570271,0.24356707220638124,0.10553593615148131,0.0717375246459902,0.5367222873377491,9.62,2.259793500890439,5,14,4.67,2.5067786886638785,0,10,-48.41201771731676,39.173925358893904,-121.08562850952148,3.2574282161891466,5.782309871315956,7.3182987578324425,-30.321578979492188,40.73463821411133,82.71141667366024,27.816270871049056,7.772783756256101,120.5789169311523,0.1653333333333333,0.07429730672612873,0.0,0.3333333333333333,0.5299999999999999,0.1181127312526072,0.3333333333333333,0.8666666666666667,0.1559556058673016,0.0794909738624243,0.0,0.3771236166328254,True,True,True,True
High Mobility,Random,baseline,153,46,1.5612244897959184,20,36,97,9.074782465611895,9.086370414587089,-13.623685435454052,40.62452174822489,14.17849120067743,19.580425502975036,-25.699546823898952,87.6437536875407,0.18457574336977065,0.08199054146733202,0.0703663730882459,0.4525795204501187,5.71,1.7995229446391698,2,11,4.43,2.147373307371618,0,10,-31.80180255230143,27.85187777146746,-101.360684967041,1.3508299877867105,4.819558327496051,3.499535633680148,-2.637969970703125,15.2950439453125,64.59675556945798,35.5678547765901,9.154249191284167,136.81299591064453,0.20999999999999994,0.06521999376710273,0.0666666666666666,0.3333333333333333,0.4566666666666667,0.07719841941125452,0.3333333333333333,0.8,0.10610066221238569,0.057133004197825965,0.0,0.3311036539055853,True,True,True,True
High Mobility,Random,utility,215,66,2.193877551020408,33,87,95,4.927599771358074,18.43094448448884,-33.61653193632762,35.505753962198895,7.834535646314424,16.26545865961318,-29.163872838020325,42.51791532461842,0.21808735826547365,0.10251697847521336,0.0697576648636873,0.5706353456524378,9.15,2.199058568082848,3,13,4.33,2.265485431960277,0,9,-64.06029639352485,53.71332127533127,-167.5302490234375,6.516755485534668,5.8305137391388415,5.147351019202412,-2.31610369682312,27.700164794921875,77.71055457448955,29.111948843647227,13.033684444427475,117.1366340637206,0.1593333333333333,0.06693213139624009,0.0,0.3333333333333333,0.5266666666666666,0.10183501544346311,0.3333333333333333,0.8,0.15823263897633771,0.06655030894756493,0.0,0.339934634239519,True,True,True,True
Low Load,AI,baseline,149,37,1.49,1,49,99,11.243749914761631,5.258177264676127,0.3621188879013061,20.586207238833108,10.079825937567902,7.292345901521167,-1.2240242163340251,32.370834151903786,0.1891744404846957,0.09332590694738746,0.073598527752772,0.6257382764854934,6.73,1.8632815626786472,3,10,2.8,1.7465695092108557,0,7,-6.387129124077037,6.987454049455852,-29.737664985656732,2.8096139788627625,6.5559322607517245,3.1334421417444323,0.9547256231307985,16.316360473632812,45.80306870841977,24.099070045018124,10.125275039672848,98.3385643005371,0.20133333333333328,0.06631557382009647,0.0,0.3333333333333333,0.4786666666666667,0.07661760983562983,0.3333333333333333,0.6666666666666666,0.1185066120973792,0.05712167558370702,0.0,0.2721655269759087,True,True,True,True
Low Load,AI,utility,154,36,1.6382978723404256,1,69,84,23.853335382356622,9.618598294364336,4.978578472137452,43.79343187014262,30.281077538190097,16.86294951819728,-4.437411506970723,77.08515294392903,0.2823396643525644,0.10205085571181048,0.0863505767023091,0.5181222115728183,6.82,2.056671823577838,2,12,2.14,1.3999999999999997,0,6,-4.8237632771153,5.887730477766827,-29.554856872558595,7.337240648269653,10.245662658214568,4.708465718772514,2.0303609371185303,25.371000289916992,85.06575053596494,28.451934754793836,21.758723640441893,124.81159210205078,0.1986666666666666,0.07152656417524925,0.0,0.3333333333333333,0.47,0.07362659452178552,0.3333333333333333,0.7333333333333333,0.11647576036435348,0.05714943416871011,0.0,0.2880329199292382,True,True,True,True
