scenario,iteration,algorithm,fuzzer_type,vulnerabilities,vulnerability_count,is_critical,jain_fairness_index,throughput_5th_percentile_mbps,handover_count_iter,avg_transmission_time_ms,generation,handover_count,handover_rate,vulnerabilities_list,avg_sinr_db,sinr_5th_percentile_db,avg_throughput_mbps,load_std,has_ping_pong,has_qoe_violation,has_unfairness,is_critical_failure
coverage_hole_test,4,Baseline,static_scenario,[],0,False,0.21314397258705142,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,0,Utility,static_scenario,['Unfairness: Jain Index = 0.19'],1,False,0.19074442836281824,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,1,Utility,static_scenario,"['Ping-Pong: 4 UEs oscillating', 'Unfairness: Jain Index = 0.20']",2,False,0.19926792369576662,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,2,Utility,static_scenario,['Ping-Pong: 5 UEs oscillating'],1,False,0.27772124817682803,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,3,Utility,static_scenario,['Ping-Pong: 3 UEs oscillating'],1,False,0.30430512015453304,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,4,Utility,static_scenario,['Ping-Pong: 2 UEs oscillating'],1,False,0.31595774927920167,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,0,ML-Based,static_scenario,"['Ping-Pong: 2 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.18']",3,False,0.18343815741060646,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,1,ML-Based,static_scenario,"['Ping-Pong: 6 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.07']",3,False,0.06871102829192861,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,2,ML-Based,static_scenario,"['Ping-Pong: 3 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.08']",3,False,0.08082386325814053,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,3,ML-Based,static_scenario,"['Ping-Pong: 3 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps']",2,False,0.4474624152459231,0.0,0.0,0.0,0.0,,,,,,,,,,,
coverage_hole_test,4,ML-Based,static_scenario,"['Ping-Pong: 2 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.10']",3,False,0.10131296676155864,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,0,Baseline,static_scenario,['Unfairness: Jain Index = 0.16'],1,False,0.16295106563012002,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,1,Baseline,static_scenario,['Unfairness: Jain Index = 0.20'],1,False,0.19928305281757835,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,2,Baseline,static_scenario,[],0,False,0.29165342265757266,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,3,Baseline,static_scenario,['Unfairness: Jain Index = 0.14'],2,False,0.13616799285492698,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,4,Baseline,static_scenario,['Ping-Pong: 3 UEs oscillating'],1,False,0.20158493892599577,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,0,Utility,static_scenario,"['Ping-Pong: 6 UEs oscillating', 'Unfairness: Jain Index = 0.10']",2,False,0.09719078887473678,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,1,Utility,static_scenario,['Ping-Pong: 6 UEs oscillating'],1,False,0.20057886164107758,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,2,Utility,static_scenario,"['Ping-Pong: 7 UEs oscillating', 'Unfairness: Jain Index = 0.19']",2,False,0.1941053457159657,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,3,Utility,static_scenario,"['Ping-Pong: 6 UEs oscillating', 'Unfairness: Jain Index = 0.15']",2,False,0.14706262557932287,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,4,Utility,static_scenario,['Ping-Pong: 3 UEs oscillating'],1,False,0.20288684507965737,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,0,ML-Based,static_scenario,"['Ping-Pong: 4 UEs oscillating', 'Unfairness: Jain Index = 0.12']",2,False,0.12121870783838865,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,1,ML-Based,static_scenario,"['Ping-Pong: 4 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.09']",3,False,0.08682873238848055,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,2,ML-Based,static_scenario,"['Ping-Pong: 2 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.10']",3,False,0.10399035175284638,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,3,ML-Based,static_scenario,"['Ping-Pong: 4 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.07']",3,False,0.06704720754170133,0.0,0.0,0.0,0.0,,,,,,,,,,,
high_mobility_test,4,ML-Based,static_scenario,"['Ping-Pong: 4 UEs oscillating', 'QoS Violation: 5th Percentile Throughput = 1.88 Mbps', 'Unfairness: Jain Index = 0.09']",3,False,0.09076682155437671,0.0,0.0,0.0,0.0,,,,,,,,,,,
Stable Mobility,0,Baseline,AI-Fuzzer,,0,,0.4501681984259541,14.915975379943848,,0.3353880047798157,,10.0,0.6666666666666666,[],11.525714874267578,0.5104216098785401,56.14043045043945,0.07499055118106487,False,False,False,False
Stable Mobility,1,Baseline,AI-Fuzzer,,0,,0.2651842930675395,8.769490718841553,,0.41612038016319275,,7.0,0.4666666666666667,[],13.79381275177002,-2.6347433805465696,67.42090606689453,0.055532875189002864,False,False,False,False
Stable Mobility,2,Baseline,AI-Fuzzer,,0,,0.27317294822414445,21.53000297546387,,0.3399030864238739,,8.0,0.5333333333333333,[],14.57905101776123,2.1492925643920904,69.65181732177734,0.08302664654363189,False,False,False,False
Stable Mobility,3,Baseline,AI-Fuzzer,,1,,0.2099049953807353,10.073786783218384,,0.4387224316596985,,12.0,0.8,['Ping-Pong: 3 UEs oscillating'],11.055439949035645,-1.8473088979721068,55.61918640136719,0.06598288790738581,True,False,False,False
Stable Mobility,4,Baseline,AI-Fuzzer,,1,,0.2678632158240187,14.897830867767334,,0.3269351124763489,,13.0,0.8666666666666667,['Ping-Pong: 5 UEs oscillating'],13.027649879455566,0.5200905978679657,62.936275482177734,0.09035079029052513,True,False,False,False
Stable Mobility,5,Baseline,AI-Fuzzer,,1,,0.37130438542579924,14.758509540557862,,0.3243260383605957,,10.0,0.6666666666666666,['Ping-Pong: 7 UEs oscillating'],15.277926445007324,0.33443157672882107,73.09322357177734,0.08302664654363189,True,False,False,False
Stable Mobility,6,Baseline,AI-Fuzzer,,1,,0.23984177952877445,10.334400081634522,,0.3683585524559021,,6.0,0.4,['Ping-Pong: 4 UEs oscillating'],13.59473705291748,-1.6961342096328735,65.92583465576172,0.09712418121129114,True,False,False,False
