scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,17,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 2, 2, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,18,baseline,"[2, 1, 2, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 1, 1, 1, 1, 2, 0]","[0.3, 0.4, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,19,baseline,"[2, 1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 1, 0, 1, 2, 2, 2]","[0.4, 0.16666666666666666, 0.43333333333333335]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,20,baseline,"[0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2, 2]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,21,baseline,"[2, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 1, 2]","[0.2, 0.4, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,22,baseline,"[2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 2, 0, 1, 0, 0, 1, 0, 0, 2]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,23,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 1, 0, 2, 1, 2, 1, 0, 2, 2]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,24,baseline,"[2, 1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2]","[0.4, 0.2, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,25,baseline,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 2, 1, 2, 0, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,26,baseline,"[1, 1, 1, 2, 0, 0, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 2, 2, 1, 2, 0, 1, 1, 1, 2, 1, 2, 0, 2]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,27,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 1, 2, 0, 2]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,28,baseline,"[2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2]","[0.26666666666666666, 0.2, 0.5333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,29,baseline,"[2, 1, 0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 2, 2, 2, 2, 2, 0, 2, 0, 1, 1, 1, 2, 1, 2, 0, 0]","[0.36666666666666664, 0.2, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,30,baseline,"[2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2]","[0.4666666666666667, 0.16666666666666666, 0.36666666666666664]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,31,baseline,"[2, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,32,baseline,"[2, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 0, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,33,baseline,"[0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 0, 0, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,34,baseline,"[2, 1, 1, 2, 2, 2, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 0, 0, 2]","[0.26666666666666666, 0.3, 0.43333333333333335]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.27']"
Low Load,35,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 2, 1, 2, 2, 0, 1, 0, 2, 2, 2, 2, 2, 1, 0, 1, 2, 1, 2, 0, 2]","[0.3, 0.26666666666666666, 0.43333333333333335]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,36,baseline,"[2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0, 1, 2, 1, 2, 2, 2, 0, 2]","[0.36666666666666664, 0.16666666666666666, 0.4666666666666667]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,37,baseline,"[0, 1, 1, 0, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0]","[0.3333333333333333, 0.2, 0.4666666666666667]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,38,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 2, 1, 2, 0, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,39,baseline,"[2, 1, 1, 0, 0, 2, 0, 0, 1, 1, 1, 2, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,40,baseline,"[2, 1, 0, 0, 0, 2, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 2, 1, 0, 1, 0, 0, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,41,baseline,"[0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 1, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 2]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,42,baseline,"[2, 1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 0, 0, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 2]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.31']"
Low Load,43,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 2, 2, 1, 2, 0, 1, 0, 1, 1, 0, 2, 0, 2]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.17']"
Low Load,44,baseline,"[2, 1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 2, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 1, 2, 1, 1, 0, 2]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'QoS Violation: Avg High Prio SINR = 2.72 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.17']"
Low Load,45,baseline,"[2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 2, 1, 2, 0, 2]","[0.4, 0.2, 0.4]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,46,baseline,"[2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 0, 0, 0, 2, 2, 1, 2, 2, 0, 2, 2, 2, 1, 2, 0, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,47,baseline,"[2, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 1, 1, 0, 1, 2, 0, 2]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,48,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 1, 0, 1, 1, 0, 2]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 2.05 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.22']"
Low Load,49,baseline,"[2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 2, 2, 2, 2, 0, 0, 1, 2, 1, 1, 1, 0, 0, 2]","[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]",['Unfairness: Jain Index = 0.16']
Low Load,50,baseline,"[2, 1, 1, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 2, 2, 1, 0, 1, 2, 1, 1, 1, 0, 0, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,51,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 2, 0, 1, 2, 1, 2, 1, 0, 0, 2]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 1 UEs', 'QoS Violation: Avg High Prio SINR = 3.59 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']"
Low Load,52,baseline,"[0, 1, 1, 0, 0, 2, 1, 0, 2, 2, 1, 1, 2, 0, 0, 1, 0, 2, 2, 1, 2, 0, 2, 2, 1, 1, 1, 2, 0, 2]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,53,baseline,"[2, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 0, 0, 2]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,54,baseline,"[2, 1, 1, 0, 0, 2, 1, 2, 1, 2, 2, 0, 2, 1, 0, 0, 2, 2, 2, 1, 2, 0, 1, 1, 1, 1, 1, 0, 0, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,55,baseline,"[2, 0, 1, 0, 0, 2, 2, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 2]","[0.36666666666666664, 0.26666666666666666, 0.36666666666666664]","['Ping-Pong: 5 UEs', 'QoS Violation: Avg High Prio SINR = 4.76 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.18']"
Low Load,56,baseline,"[2, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 1, 0, 0, 2]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.46']"
Low Load,57,baseline,"[2, 1, 0, 0, 0, 2, 1, 2, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 0, 1, 2, 0, 2]","[0.4, 0.3, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.14']"
Low Load,58,baseline,"[2, 1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 2, 1, 0, 0, 0, 2, 2, 2, 1, 1, 2, 1, 1, 1, 0, 0, 2]","[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]","['Ping-Pong: 7 UEs', 'QoS Violation: Avg High Prio SINR = 3.90 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.21']"
Low Load,59,baseline,"[2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 0, 1, 2, 2, 1, 0, 0, 1, 2, 1, 0, 2, 1, 0, 1, 1, 1, 2, 0, 2]","[0.26666666666666666, 0.43333333333333335, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,60,baseline,"[2, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 1, 1, 1, 2, 1, 2]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,61,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 0, 1, 1, 2, 0, 2]","[0.23333333333333334, 0.3, 0.4666666666666667]","['Ping-Pong: 3 UEs', 'QoS Violation: Avg High Prio SINR = 4.85 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.44']"
Low Load,62,baseline,"[2, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 1, 2, 2, 1, 0, 2, 2, 2, 0, 0, 2, 1, 2, 1, 0, 1, 0, 1, 1]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,63,baseline,"[2, 1, 1, 2, 0, 0, 1, 0, 2, 0, 1, 1, 1, 2, 1, 0, 2, 2, 2, 0, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1]","[0.2, 0.4666666666666667, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,64,baseline,"[2, 1, 2, 0, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 0, 1, 2]","[0.23333333333333334, 0.43333333333333335, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,65,baseline,"[2, 2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 0, 2, 2, 2, 0, 2, 1, 1, 2, 1, 1, 0, 1, 2]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.07']"
