scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,78,baseline,"[2, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 2, 2, 2, 2, 0, 1, 0, 0, 1, 0, 1, 1]","[0.3333333333333333, 0.4, 0.26666666666666666]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,79,baseline,"[2, 1, 1, 1, 0, 2, 0, 2, 1, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 1, 1]","[0.4, 0.43333333333333335, 0.16666666666666666]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,80,baseline,"[2, 1, 1, 1, 0, 2, 2, 2, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 2, 2, 0, 0, 0, 1, 1, 2, 1, 1]","[0.23333333333333334, 0.5, 0.26666666666666666]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,81,baseline,"[2, 0, 1, 1, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 1, 0, 1, 1]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 1.32 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']"
Low Load,82,baseline,"[2, 1, 1, 1, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 2, 1, 2, 2, 0, 0, 0, 0, 1, 0, 1, 1]","[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,83,baseline,"[2, 1, 0, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 1, 1]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 1 UEs', 'QoS Violation: Avg High Prio SINR = 4.24 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']"
Low Load,84,baseline,"[2, 1, 1, 1, 0, 1, 2, 2, 2, 0, 2, 1, 2, 0, 1, 2, 2, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 0, 1]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 1 UEs', 'QoS Violation: Avg High Prio SINR = 2.47 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']"
Low Load,85,baseline,"[2, 1, 1, 1, 2, 0, 1, 2, 1, 0, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0, 1, 2, 0, 2]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 5 UEs', 'QoS Violation: Avg High Prio SINR = 3.88 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']"
Low Load,86,baseline,"[2, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 2, 1, 0, 2, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 1, 0, 0, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,87,baseline,"[2, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 0, 0, 1, 2, 0, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,88,baseline,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 1, 0, 2, 2, 1, 0, 2, 2, 1, 2, 0, 2, 0, 1, 0, 0, 1, 2, 0, 1]","[0.26666666666666666, 0.43333333333333335, 0.3]","['Ping-Pong: 1 UEs', 'QoS Violation: Avg High Prio SINR = 2.28 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']"
Low Load,89,baseline,"[2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 1, 0, 2, 2, 1, 0, 2, 2, 2, 2, 0, 2, 0, 1, 0, 0, 1, 2, 0, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,90,baseline,"[1, 1, 0, 1, 0, 2, 2, 1, 1, 0, 1, 1, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 1, 0, 0, 0, 1, 2, 0, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.25']"
Low Load,91,baseline,"[1, 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 0, 0, 2, 2, 0, 2]","[0.4, 0.3, 0.3]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,92,baseline,"[2, 1, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 2, 2, 2, 1, 1, 0, 0, 1, 2, 0, 2]","[0.3, 0.4666666666666667, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.09']"
Low Load,93,baseline,"[1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1, 0, 0, 1, 2, 0, 1]","[0.3333333333333333, 0.5333333333333333, 0.13333333333333333]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 3.02 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']"
Low Load,94,baseline,"[0, 0, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 2, 1, 2, 2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,95,baseline,"[2, 2, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1, 0, 0, 0, 2, 0, 1]","[0.36666666666666664, 0.26666666666666666, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,96,baseline,"[2, 2, 1, 1, 0, 2, 1, 2, 1, 0, 1, 0, 2, 1, 0, 2, 0, 0, 2, 2, 2, 2, 1, 1, 0, 0, 1, 2, 0, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 3.79 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']"
Low Load,97,baseline,"[2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 0, 1, 2, 2, 2, 2, 1, 1, 0, 0, 1, 2, 0, 2]","[0.3, 0.43333333333333335, 0.26666666666666666]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,98,baseline,"[2, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 2, 2, 1, 0, 2, 0, 2, 2, 2, 2, 1, 1, 0, 0, 1, 2, 1, 2]","[0.2, 0.4, 0.4]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 3.46 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']"
Low Load,99,baseline,"[2, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 2, 2, 1, 0, 0, 0, 2, 2, 2, 2, 1, 1, 2, 0, 1, 2, 0, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,0,utility,"[0, 2, 0, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 1, 1, 2, 2, 1, 1]","[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]","['QoS Violation: Avg High Prio SINR = 3.83 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.18']"
Low Load,1,utility,"[0, 1, 1, 1, 2, 2, 2, 2, 2, 0, 1, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0.4, 0.4, 0.2]",['Unfairness: Jain Index = 0.07']
Low Load,2,utility,"[2, 1, 2, 1, 1, 2, 2, 0, 1, 2, 1, 2, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 1, 1, 1]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,3,utility,"[0, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 2, 1, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0]","[0.5, 0.3, 0.2]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,4,utility,"[0, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 1, 1, 1, 2, 0, 1, 0]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,5,utility,"[0, 1, 2, 2, 1, 2, 2, 2, 0, 2, 0, 0, 1, 0, 2, 2, 0, 1, 2, 1, 2, 2, 0, 1, 0, 2, 0, 0, 2, 1]","[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,6,utility,"[0, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,7,utility,"[0, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 0, 1, 0, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0.4666666666666667, 0.23333333333333334, 0.3]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,8,utility,"[0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 1, 1, 0, 1, 0, 0, 1, 1]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.17']"
Low Load,9,utility,"[0, 2, 2, 0, 1, 0, 2, 2, 1, 2, 2, 0, 1, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 0, 2, 2, 0, 0, 1]","[0.4, 0.2, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,10,utility,"[1, 1, 1, 0, 1, 1, 0, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 2, 1, 0, 1]","[0.4, 0.4, 0.2]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.11']"
Low Load,11,utility,"[0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1]","[0.23333333333333334, 0.26666666666666666, 0.5]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,12,utility,"[0, 1, 2, 2, 0, 1, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 2, 0, 0, 1]","[0.5333333333333333, 0.23333333333333334, 0.23333333333333334]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,13,utility,"[2, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 2, 2, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 1]","[0.5, 0.2, 0.3]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.27']"
Low Load,14,utility,"[2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 0, 0, 1, 0, 2, 2, 2, 2, 0, 0, 1, 2, 2, 1, 2, 1, 1]","[0.16666666666666666, 0.36666666666666664, 0.4666666666666667]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.25']"
Low Load,15,utility,"[0, 1, 2, 1, 1, 1, 2, 2, 1, 2, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.30']"
Low Load,16,utility,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2, 1, 0, 2, 2, 0, 1, 0]","[0.3333333333333333, 0.2, 0.4666666666666667]","['Ping-Pong: 8 UEs', 'QoS Violation: Avg High Prio SINR = 4.84 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.18']"
Low Load,17,utility,"[0, 1, 2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0]","[0.36666666666666664, 0.4, 0.23333333333333334]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,18,utility,"[0, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 0, 2, 0, 1, 2, 0, 2, 2, 0, 2, 0, 1, 0, 0, 2, 2, 0, 0, 0]","[0.36666666666666664, 0.13333333333333333, 0.5]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,19,utility,"[1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 0, 0, 1, 0, 0, 2, 0, 2, 0, 1, 1, 0, 2, 1, 1, 0, 0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,20,utility,"[1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 1, 0, 0, 0]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,21,utility,"[0, 2, 0, 2, 1, 1, 0, 2, 1, 2, 1, 1, 1, 0, 0, 2, 0, 0, 2, 0, 1, 0, 1, 0, 1, 2, 2, 0, 2, 0]","[0.4, 0.3, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,22,utility,"[0, 2, 2, 2, 0, 1, 2, 2, 2, 2, 1, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,23,utility,"[2, 2, 1, 2, 1, 1, 1, 2, 0, 0, 2, 1, 2, 0, 0, 2, 0, 0, 2, 0, 2, 1, 0, 1, 1, 2, 1, 0, 0, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,24,utility,"[0, 1, 2, 2, 2, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 0, 1, 2, 0, 1, 2, 0, 0, 0]","[0.43333333333333335, 0.2, 0.36666666666666664]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.41']"
Low Load,25,utility,"[0, 1, 0, 2, 1, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 2, 0, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[0.3, 0.4666666666666667, 0.23333333333333334]","['Ping-Pong: 9 UEs', 'QoS Violation: Avg High Prio SINR = 3.19 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']"
Low Load,26,utility,"[0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 0, 2, 2, 0, 2, 0, 0, 1, 1, 2, 0, 0, 2, 0]","[0.3333333333333333, 0.1, 0.5666666666666667]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 2.92 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']"
Low Load,27,utility,"[0, 1, 0, 1, 1, 2, 2, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 2, 1, 0, 1, 0]","[0.5, 0.3, 0.2]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,28,utility,"[0, 1, 1, 2, 0, 1, 0, 2, 2, 1, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0, 0]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,29,utility,"[0, 1, 0, 1, 2, 2, 2, 1, 2, 0, 1, 0, 2, 2, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,30,utility,"[2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 0]","[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,31,utility,"[0, 0, 0, 2, 2, 2, 2, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0]","[0.5, 0.2, 0.3]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,32,utility,"[0, 1, 0, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 0, 2, 2, 0, 0, 0]","[0.3, 0.4, 0.3]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,33,utility,"[0, 0, 0, 2, 1, 0, 2, 2, 2, 2, 1, 2, 1, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0]","[0.5, 0.16666666666666666, 0.3333333333333333]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.10']"
Low Load,34,utility,"[2, 1, 2, 0, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 2, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 2, 2, 0, 2, 0]","[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,35,utility,"[1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 0, 1, 1, 0, 2, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[0.36666666666666664, 0.4, 0.23333333333333334]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,36,utility,"[2, 1, 2, 1, 1, 1, 2, 0, 2, 2, 2, 0, 2, 2, 2, 1, 0, 0, 1, 2, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0]","[0.36666666666666664, 0.23333333333333334, 0.4]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,37,utility,"[1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0]","[0.5, 0.43333333333333335, 0.06666666666666667]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.08']"
Low Load,38,utility,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 2, 1, 2, 0, 2]","[0.23333333333333334, 0.26666666666666666, 0.5]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,39,utility,"[0, 1, 0, 2, 1, 1, 2, 2, 1, 2, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 2, 1, 1, 0, 2]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,40,utility,"[0, 1, 1, 2, 1, 0, 2, 2, 2, 0, 2, 1, 1, 1, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 2]","[0.3, 0.4, 0.3]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 3.92 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']"
Low Load,41,utility,"[1, 1, 0, 1, 2, 1, 2, 2, 2, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]","[0.36666666666666664, 0.4666666666666667, 0.16666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,42,utility,"[1, 1, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 2, 0]","[0.36666666666666664, 0.4666666666666667, 0.16666666666666666]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,43,utility,"[0, 1, 0, 1, 2, 1, 2, 2, 2, 2, 1, 1, 0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 1, 1, 0]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.14']"
Low Load,44,utility,"[0, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 1, 0, 1, 1, 2, 0, 2, 1, 2, 2, 1, 0, 2, 1, 0, 2, 1, 0, 0]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.15']"
Low Load,45,utility,"[0, 1, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2, 1, 1, 1, 0, 0, 2, 2, 2, 2, 0, 2, 1, 1, 1, 0, 0, 0, 0]","[0.36666666666666664, 0.26666666666666666, 0.36666666666666664]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,46,utility,"[1, 1, 0, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2]","[0.3, 0.4, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.29']"
Low Load,47,utility,"[0, 1, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 2, 0, 2, 1, 0, 0, 0]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,48,utility,"[2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.21']"
Low Load,49,utility,"[2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 2, 0, 0]","[0.13333333333333333, 0.4, 0.4666666666666667]",['Ping-Pong: 4 UEs']
Low Load,50,utility,"[0, 1, 0, 0, 1, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 1, 1, 0, 0, 0]","[0.4666666666666667, 0.4, 0.13333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,51,utility,"[2, 1, 2, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 1, 0, 1, 1, 2, 2, 1, 2, 0, 1, 2, 0, 1, 0, 1, 2, 2]","[0.16666666666666666, 0.4, 0.43333333333333335]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,52,utility,"[0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 1, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[0.26666666666666666, 0.5333333333333333, 0.2]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,53,utility,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 0, 2, 0, 1, 2, 0, 1, 1, 0, 2, 0]","[0.16666666666666666, 0.3, 0.5333333333333333]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,54,utility,"[0, 0, 2, 1, 1, 0, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,55,utility,"[0, 1, 0, 1, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 0, 2, 1, 1, 2, 0, 1, 1, 1, 1, 2]","[0.16666666666666666, 0.5, 0.3333333333333333]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,56,utility,"[0, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 2]","[0.23333333333333334, 0.43333333333333335, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,57,utility,"[0, 1, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 0, 2, 1, 2, 2, 0, 1, 0, 0, 2, 1, 0, 0, 0]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.39']"
Low Load,58,utility,"[2, 0, 1, 1, 2, 1, 0, 1, 2, 2, 1, 2, 2, 1, 1, 1, 0, 2, 2, 0, 2, 2, 0, 1, 0, 2, 2, 0, 0, 1]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.37']"
