scenario,iteration,fuzzer_type,algorithm,assignments,cell_loads,vulnerabilities
Low Load,0,AI,baseline,"[0, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1]","[0.36666666666666664, 0.4, 0.23333333333333334]",['Unfairness: Jain Index = 0.04']
Low Load,1,AI,baseline,"[2, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]",['Unfairness: Jain Index = 0.14']
Low Load,2,AI,baseline,"[2, 1, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,3,AI,baseline,"[1, 2, 0, 0, 2, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1, 0, 0, 2, 1, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,4,AI,baseline,"[1, 2, 0, 1, 2, 2, 1, 0, 2, 0, 0, 2, 2, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 1, 2, 0, 2, 0, 1]","[0.43333333333333335, 0.23333333333333334, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,5,AI,baseline,"[0, 1, 2, 0, 2, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0.3, 0.6, 0.1]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,6,AI,baseline,"[0, 2, 0, 2, 2, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,7,AI,baseline,"[0, 1, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 2, 1, 1, 0, 1, 0, 0, 2, 0, 1]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,8,AI,baseline,"[2, 2, 2, 2, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 1, 1]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,9,AI,baseline,"[0, 1, 2, 0, 1, 2, 1, 0, 0, 1, 2, 0, 2, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1]","[0.5333333333333333, 0.23333333333333334, 0.23333333333333334]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,10,AI,baseline,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 2, 2, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0.5333333333333333, 0.3333333333333333, 0.13333333333333333]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.12 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']"
Low Load,11,AI,baseline,"[0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,12,AI,baseline,"[0, 1, 0, 2, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 1, 2, 0, 1, 0, 0, 2, 0, 0, 2, 1, 1]","[0.43333333333333335, 0.3333333333333333, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,13,AI,baseline,"[2, 1, 0, 1, 2, 0, 1, 0, 0, 1, 2, 0, 2, 2, 1, 1, 2, 1, 2, 2, 2, 1, 0, 0, 2, 0, 0, 2, 0, 1]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,14,AI,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,15,AI,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 2, 0, 1, 0, 2, 2, 0, 0, 2, 1, 0, 0, 2, 1, 1]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,16,AI,baseline,"[0, 1, 2, 0, 2, 2, 1, 1, 0, 1, 1, 2, 2, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0.3333333333333333, 0.4, 0.26666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,17,AI,baseline,"[2, 0, 0, 0, 2, 2, 1, 1, 0, 1, 1, 0, 2, 0, 1, 1, 2, 1, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,18,AI,baseline,"[1, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 2, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0.4, 0.4, 0.2]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,19,AI,baseline,"[0, 1, 2, 2, 0, 1, 1, 2, 2, 1, 0, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 0, 1, 2, 0, 0, 2, 1, 1]","[0.23333333333333334, 0.36666666666666664, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,20,AI,baseline,"[0, 2, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 0, 2, 2, 1, 2, 2, 1, 0, 0, 2, 0, 0, 0, 0, 1]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,21,AI,baseline,"[0, 1, 0, 2, 0, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 0, 0, 0, 1, 2]","[0.23333333333333334, 0.4666666666666667, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,22,AI,baseline,"[2, 1, 0, 1, 0, 2, 1, 1, 2, 1, 1, 0, 2, 2, 1, 1, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 0, 1, 2, 1]","[0.3, 0.4, 0.3]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,23,AI,baseline,"[2, 1, 0, 0, 0, 2, 0, 1, 2, 1, 1, 0, 1, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 0, 2, 0, 0, 1, 1, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,24,AI,baseline,"[2, 1, 0, 1, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 0, 1, 1, 2, 2, 0, 2, 1, 1]","[0.13333333333333333, 0.5, 0.36666666666666664]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,25,AI,baseline,"[2, 1, 0, 2, 1, 2, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 2, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[0.4, 0.36666666666666664, 0.23333333333333334]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,26,AI,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 0, 2, 1, 0, 0, 0, 2, 1, 2, 2, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 2, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,27,AI,baseline,"[1, 1, 0, 2, 0, 2, 1, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1, 1, 0, 1, 2, 0, 0, 2, 1, 0]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,28,AI,baseline,"[2, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 2, 0, 1, 1, 0]","[0.4, 0.43333333333333335, 0.16666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,29,AI,baseline,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 1, 0]","[0.43333333333333335, 0.4666666666666667, 0.1]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,30,AI,baseline,"[0, 0, 0, 0, 1, 2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 1, 2, 1, 0, 2, 1, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,31,AI,baseline,"[2, 0, 1, 2, 1, 2, 2, 2, 2, 2, 1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 2, 1, 0, 1, 2, 0, 2, 0, 1, 0]","[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 4.31 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']"
Low Load,32,AI,baseline,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 0, 1, 2, 0, 1, 0]","[0.5666666666666667, 0.26666666666666666, 0.16666666666666666]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,33,AI,baseline,"[2, 0, 0, 0, 2, 2, 2, 0, 2, 0, 1, 0, 2, 2, 1, 1, 0, 2, 0, 2, 2, 1, 0, 0, 1, 0, 0, 2, 0, 0]","[0.4666666666666667, 0.16666666666666666, 0.36666666666666664]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,34,AI,baseline,"[0, 0, 0, 2, 2, 2, 1, 2, 2, 0, 1, 2, 2, 0, 1, 1, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 1, 0]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 2.82 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']"
Low Load,35,AI,baseline,"[0, 0, 0, 2, 0, 2, 0, 2, 2, 0, 1, 0, 2, 1, 1, 2, 0, 2, 1, 2, 2, 0, 0, 0, 0, 1, 0, 2, 1, 0]","[0.4666666666666667, 0.2, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,36,AI,baseline,"[0, 0, 1, 2, 1, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 0, 1]","[0.4, 0.3, 0.3]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,37,AI,baseline,"[0, 0, 0, 2, 0, 2, 1, 1, 2, 0, 1, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 1, 0]","[0.5333333333333333, 0.16666666666666666, 0.3]","['Ping-Pong: 5 UEs', 'QoS Violation: Avg High Prio SINR = 3.07 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']"
Low Load,38,AI,baseline,"[2, 0, 0, 2, 1, 2, 0, 2, 0, 1, 2, 0, 1, 1, 1, 1, 2, 2, 0, 2, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0]","[0.43333333333333335, 0.2, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 0.74 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']"
Low Load,39,AI,baseline,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 1, 0]","[0.5, 0.06666666666666667, 0.43333333333333335]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,40,AI,baseline,"[0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 2, 0, 1, 1, 2, 2, 0, 2, 2, 2, 0, 2, 2, 2, 2, 1, 1, 0]","[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,41,AI,baseline,"[2, 2, 0, 2, 0, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[0.4, 0.3333333333333333, 0.26666666666666666]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,42,AI,baseline,"[2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 2, 0, 2, 0, 2, 1, 0, 0, 2, 0, 0]","[0.5333333333333333, 0.23333333333333334, 0.23333333333333334]","['Ping-Pong: 5 UEs', 'QoS Violation: Avg High Prio SINR = 3.77 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.13']"
Low Load,43,AI,baseline,"[2, 1, 2, 0, 0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1]","[0.5, 0.23333333333333334, 0.26666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,44,AI,baseline,"[2, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 2]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,45,AI,baseline,"[0, 2, 2, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 1, 1, 0]","[0.5, 0.2, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,46,AI,baseline,"[2, 2, 2, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 2, 0, 2, 0, 1, 0, 0, 2, 2, 0, 1, 2, 0]","[0.43333333333333335, 0.26666666666666666, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,47,AI,baseline,"[2, 0, 1, 0, 2, 1, 1, 0, 2, 2, 1, 0, 1, 1, 1, 0, 0, 1, 2, 2, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0]","[0.43333333333333335, 0.3333333333333333, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,48,AI,baseline,"[1, 0, 0, 2, 2, 1, 1, 0, 1, 0, 1, 0, 2, 2, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2]","[0.36666666666666664, 0.4, 0.23333333333333334]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,49,AI,baseline,"[2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 2, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1, 1, 1]","[0.5333333333333333, 0.2, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,50,AI,baseline,"[2, 0, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 2, 2, 2, 0, 2, 0, 2, 0, 2, 0, 1, 2, 0, 0, 1, 0, 1]","[0.4666666666666667, 0.23333333333333334, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,51,AI,baseline,"[0, 0, 1, 2, 0, 0, 2, 1, 2, 1, 1, 0, 2, 0, 0, 1, 0, 2, 1, 2, 0, 2, 0, 2, 2, 0, 1, 1, 0, 0]","[0.43333333333333335, 0.26666666666666666, 0.3]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,52,AI,baseline,"[2, 0, 0, 2, 0, 2, 1, 1, 2, 1, 1, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 2, 1, 1, 0, 0]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,53,AI,baseline,"[0, 0, 0, 1, 0, 2, 1, 1, 2, 0, 1, 0, 2, 1, 0, 1, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 1, 0, 1]","[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]","['Ping-Pong: 7 UEs', 'QoS Violation: Avg High Prio SINR = 4.88 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']"
Low Load,54,AI,baseline,"[2, 0, 2, 2, 2, 0, 1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 1, 2, 0, 1, 1, 0, 2, 2, 1, 1, 2, 2]","[0.36666666666666664, 0.26666666666666666, 0.36666666666666664]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,55,AI,baseline,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0]","[0.6333333333333333, 0.26666666666666666, 0.1]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,56,AI,baseline,"[2, 0, 2, 0, 2, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 2, 0, 1, 1, 2, 0, 0, 1, 0, 2, 2, 0, 1, 0, 0]","[0.5, 0.23333333333333334, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,57,AI,baseline,"[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[0.6333333333333333, 0.2, 0.16666666666666666]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,58,AI,baseline,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 2, 0, 2, 1, 0, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1]","[0.5, 0.3, 0.2]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,59,AI,baseline,"[2, 0, 2, 1, 2, 0, 2, 0, 0, 1, 0, 0, 2, 2, 1, 2, 0, 1, 0, 2, 0, 1, 0, 0, 2, 0, 1, 1, 2, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,60,AI,baseline,"[2, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1, 1, 2, 2, 1, 0, 2, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 2]","[0.3333333333333333, 0.4, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,61,AI,baseline,"[1, 0, 2, 2, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0.6333333333333333, 0.2, 0.16666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,62,AI,baseline,"[2, 0, 0, 2, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 0, 1, 2, 2, 1, 2, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0]","[0.4, 0.3333333333333333, 0.26666666666666666]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,63,AI,baseline,"[0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 2, 0, 2, 2, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0]","[0.5666666666666667, 0.2, 0.23333333333333334]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,64,AI,baseline,"[1, 0, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 0, 1, 0, 2, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0]","[0.4666666666666667, 0.23333333333333334, 0.3]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,65,AI,baseline,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 0, 2, 0, 1, 2, 2, 1, 2, 0, 2, 2, 0, 0, 1, 0]","[0.5333333333333333, 0.23333333333333334, 0.23333333333333334]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,66,AI,baseline,"[1, 0, 2, 2, 0, 0, 1, 0, 0, 1, 1, 1, 2, 2, 0, 1, 2, 1, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 1, 2]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,67,AI,baseline,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 2, 1, 1, 2, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0.5, 0.3, 0.2]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,68,AI,baseline,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 2, 1, 1, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0.5, 0.3, 0.2]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,69,AI,baseline,"[2, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0]","[0.5, 0.26666666666666666, 0.23333333333333334]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,70,AI,baseline,"[2, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0.5666666666666667, 0.23333333333333334, 0.2]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,71,AI,baseline,"[1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1]","[0.4666666666666667, 0.3, 0.23333333333333334]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,72,AI,baseline,"[2, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 1]","[0.4666666666666667, 0.36666666666666664, 0.16666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,73,AI,baseline,"[2, 0, 0, 2, 2, 2, 2, 0, 0, 1, 2, 0, 2, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0]","[0.43333333333333335, 0.26666666666666666, 0.3]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,74,AI,baseline,"[2, 2, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1]","[0.5, 0.26666666666666666, 0.23333333333333334]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 4.99 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']"
Low Load,75,AI,baseline,"[2, 0, 2, 2, 1, 2, 1, 0, 0, 1, 1, 0, 2, 2, 1, 1, 2, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0]","[0.4, 0.3, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,76,AI,baseline,"[2, 0, 2, 2, 0, 2, 0, 0, 0, 1, 1, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0]","[0.5333333333333333, 0.2, 0.26666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,77,AI,baseline,"[2, 0, 2, 1, 2, 2, 1, 0, 0, 1, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 1, 1]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,78,AI,baseline,"[2, 0, 2, 1, 1, 2, 1, 0, 0, 1, 1, 0, 2, 0, 2, 0, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
Low Load,79,AI,baseline,"[2, 0, 2, 2, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 2]","[0.4, 0.3, 0.3]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.03']"
