scenario,iteration,fuzzer_type,algorithm,handover_count_iter,handover_rate,vulnerability_count,vulnerability_severity,cascade_indicator,vulnerabilities,jain_fairness_index,load_efficiency,load_std,load_max,alpha_fairness_a1,alpha_fairness_a2,avg_sinr_db,sinr_5th_percentile_db,avg_high_prio_sinr,worst_high_prio_sinr,num_ues_below_qos,avg_throughput_mbps,throughput_5th_percentile_mbps,avg_transmission_time_ms,has_ping_pong,has_qoe_violation,has_unfairness
High Cell Overlap,0,Basic_AI,ml_based,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -7.76 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']",0.06102916493887204,0.931445064868851,0.07360062092422116,0.26666666666666666,-57.207393646240234,-247.07920837402344,-8.281618,-10.0,-7.760828,-10.0,29,4.2666492,1.8810484409332275,5.301148165017366,False,True,True
High Cell Overlap,0,Strategic_Random,baseline,26,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 4.26 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']",0.12087635095029725,0.9680461752673912,0.03300857495127506,0.13333333333333333,33.71055603027344,-25.838869094848633,4.8801026,-4.724966335296631,4.260121,-4.1701984,8,32.174923,5.755388069152832,0.7553737377747893,False,True,True
High Cell Overlap,0,Strategic_Random,utility,27,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.19 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']",0.11214681558251696,0.9620343380509805,0.039463936418252604,0.16666666666666666,21.047630310058594,-31.56093978881836,3.0469568,-4.526514101028442,3.1900837,-4.247458,11,26.110832,5.968081426620484,0.8851791499182582,False,True,True
High Cell Overlap,0,Strategic_Random,ml_based,26,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.21 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']",0.15282694589905954,0.9593945898369228,0.042323993269525684,0.13333333333333333,18.071367263793945,-70.31756591796875,2.6160986,-10.0,3.2114718,-10.0,12,28.133104,1.8810484409332275,1.6670527402311563,False,True,True
High Cell Overlap,0,Naive_Random,baseline,24,0,1,1,0,['Unfairness: Jain Index = 0.23'],0.23386813632115508,0.9606895808301764,0.04091896066558105,0.13333333333333333,21.595264434814453,-33.693016052246094,3.1262345,-5.0192135095596315,5.5613236,-3.4903505,13,26.581272,5.402820491790772,0.9251211886294186,False,False,True
High Cell Overlap,0,Naive_Random,utility,23,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 4.06 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']",0.07140217712124719,0.9606895808301764,0.04091896066558105,0.16666666666666666,29.61009979248047,-30.477581024169922,4.286501,-3.9435511231422424,4.0635037,-7.0761957,9,30.835321,6.687329626083374,0.8531113271601498,False,True,True
High Cell Overlap,0,Naive_Random,ml_based,26,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -5.22 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.040225727917874134,0.9606895808301764,0.04091896066558105,0.13333333333333333,-1.4736900329589844,-107.53710174560547,-0.21333846,-10.0,-5.2230325,-10.0,17,20.924425,1.8810484409332275,2.4366306606680155,False,True,True
Edge Computing,0,Adaptive_AI,baseline,4,0,1,2,0,['QoS Violation: Avg High Prio SINR = -9.68 dB (Threshold: 5.0 dB)'],0.8464034028131502,0.9650849360156323,0.036178229170704006,0.15000000000000002,-89.60733032226562,-384.10009765625,-9.7289915,-10.0,-9.683128,-10.0,40,2.0641003,1.8810484409332275,6.137263961136341,False,True,False
Edge Computing,0,Adaptive_AI,utility,39,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -5.41 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']",0.034472681053310174,0.8989899524428275,0.11235948442215365,0.5,-47.67744827270508,-238.48033142089844,-5.176513,-10.0,-5.4070983,-10.0,35,9.838816,1.8810484409332275,3.906696103513241,False,True,True
Edge Computing,0,Adaptive_AI,ml_based,36,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -5.66 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']",0.03177813107991092,0.930082939524006,0.07517293082676683,0.325,-67.62940216064453,-353.90924072265625,-7.3427687,-10.0,-5.6603026,-10.0,36,9.054179,1.8810484409332275,5.664999596774578,False,True,True
Edge Computing,0,Basic_AI,baseline,32,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -2.77 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.04240131591460985,0.9438006056152812,0.059545834205182946,0.2,-14.886882781982422,-166.875244140625,-1.6163229,-10.0,-2.7689915,-10.0,26,18.312088,1.8810484409332275,2.8009607922285795,False,True,True
Edge Computing,0,Basic_AI,utility,37,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -2.06 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']",0.09494333234633429,0.9423466004501083,0.061180673355593004,0.225,3.207970142364502,-156.05039978027344,0.34830093,-10.0,-2.0602894,-10.0,28,26.260609,1.8810484409332275,2.623569220304489,False,True,True
Edge Computing,0,Basic_AI,ml_based,38,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -4.69 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']",0.09135301662084389,0.9589207907411947,0.04283900156868344,0.17500000000000002,-63.16823959350586,-338.0946044921875,-6.8584046,-10.0,-4.688443,-10.0,35,9.808319,1.8810484409332275,5.421762354671955,False,True,True
Edge Computing,0,Strategic_Random,baseline,32,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 2.05 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.0357752264220196,0.9727871852014445,0.02797406792824908,0.1,14.486580848693848,-71.10578155517578,1.5728602,-6.570121622085571,2.046404,-10.0,23,23.275257,3.969865715503693,1.3325171312317252,False,True,True
Edge Computing,0,Strategic_Random,utility,31,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 2.67 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.18']",0.17650439039131685,0.9668266392015946,0.03431159160632973,0.15000000000000002,28.795543670654297,-46.14850616455078,3.1264362,-5.536975336074829,2.6680527,-5.072046,14,26.553198,4.866151809692383,0.9440589928999543,False,True,True
Edge Computing,0,Strategic_Random,ml_based,31,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -1.34 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']",0.07914376668638494,0.954907368168131,0.04722199590770095,0.15000000000000002,21.22837257385254,-104.21109771728516,2.304841,-10.0,-1.3421128,-10.0,21,28.509716,1.8810484409332275,1.8285677069798112,False,True,True
Edge Computing,0,Naive_Random,baseline,24,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.52 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']",0.11356991072310103,0.9659434741756532,0.035257265807827017,0.1,34.846351623535156,-69.9842529296875,3.7833946,-10.0,3.5209184,-10.0,13,30.32813,1.8810484409332275,1.299152267165482,False,True,True
Edge Computing,0,Naive_Random,utility,32,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 3.47 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']",0.06871010902984802,0.9596338424428583,0.04206412463985732,0.17500000000000002,36.35810089111328,-46.924713134765625,3.9475312,-6.812218880653381,3.4656272,-4.4712296,14,30.166256,3.7352270126342773,0.9516786667518318,False,True,True
Edge Computing,0,Naive_Random,ml_based,35,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 0.85 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.31']",0.3103222986127388,0.9634346015125301,0.03795317132067358,0.125,5.7445807456970215,-93.363037109375,0.62370986,-10.0,0.8497362,-10.0,20,19.839249,1.8810484409332275,1.6748809721320868,False,True,True
