scenario,fuzzer_type,algorithm,total_vuln_events,unique_vuln_types_count,avg_vuln_types_per_trigger_iter,count_qos_violations,count_ping_pong,count_unfairness,mean_avg_overall_sinr,std_avg_overall_sinr,min_avg_overall_sinr,max_avg_overall_sinr,mean_avg_high_prio_sinr,std_avg_high_prio_sinr,min_avg_high_prio_sinr,max_avg_high_prio_sinr,mean_fairness_index,std_fairness_index,min_fairness_index,max_fairness_index,mean_handover_count_iter,std_handover_count_iter,min_handover_count_iter,max_handover_count_iter,mean_num_ues_below_qos,std_num_ues_below_qos,min_num_ues_below_qos,max_num_ues_below_qos,mean_sinr_5th_percentile,std_sinr_5th_percentile,min_sinr_5th_percentile,max_sinr_5th_percentile,mean_sinr_50th_percentile,std_sinr_50th_percentile,min_sinr_50th_percentile,max_sinr_50th_percentile,mean_sinr_95th_percentile,std_sinr_95th_percentile,min_sinr_95th_percentile,max_sinr_95th_percentile,mean_load_min,std_load_min,min_load_min,max_load_min,mean_load_max,std_load_max,min_load_max,max_load_max,mean_load_std,std_load_std,min_load_std,max_load_std,group_extreme_low_5th_sinr,group_extreme_high_95th_sinr,group_very_low_indiv_sinr,group_very_high_indiv_sinr
High Load,AI,baseline,155,31,1.55,0,56,99,13.696728855224015,5.47506134036851,1.5198944489161172,26.909862880905468,11.950051981800545,6.968638179192227,0.4152142951885859,33.680315017700195,0.1853572031568382,0.07472117677730096,0.073554044391052,0.476046418846685,6.45,1.7019003045021899,3,11,2.41,1.1899834478095088,0,5,-4.523195892349351,4.770359165714591,-24.88910217285156,3.962640118598938,7.454434133768082,3.242200135939511,1.8355785608291624,16.40241813659668,54.802572340965234,27.952612390850888,9.135144519805907,114.61901168823242,0.1993333333333333,0.06994947671662237,0.0666666666666666,0.3333333333333333,0.47800000000000004,0.08635530705891245,0.3333333333333333,0.7333333333333333,0.11993742106952267,0.062257507351568,0.0,0.2880329199292382,True,True,True,True
High Load,AI,utility,136,27,1.4782608695652173,0,60,76,28.376363516828665,8.53702641956844,10.30435926914215,51.13297483921051,32.58843978879042,14.176202893146511,1.7833743691444397,72.89265390237172,0.33379856094411925,0.09888263521580476,0.0987185102232563,0.6521005077089953,6.77,2.3262012211354635,1,12,1.71,1.200126255984357,0,5,-2.916797137089073,5.0827054271192695,-25.042872619628906,7.979437422752381,12.362588264942168,7.748685551838159,2.3871490955352783,66.18321228027344,94.9249649543762,25.975111510795408,30.859421157836916,130.49791107177734,0.21799999999999994,0.06623089903158484,0.0666666666666666,0.3333333333333333,0.4486666666666668,0.06757296426411107,0.3333333333333333,0.6666666666666666,0.09807373881588873,0.05314699046457914,0.0,0.2494438257849294,True,True,True,True
High Load,Random,baseline,152,37,1.5670103092783505,5,51,96,19.811100830662063,8.590047103214253,5.971521690487862,44.82746837635835,24.56042817257345,16.096952410997734,-4.308356861273448,61.243974447250366,0.24618477548535359,0.08252756890401565,0.0772648422368717,0.4302296352064371,6.07,1.8708556892772379,1,10,2.35,1.5914861868166756,0,6,-7.054607805762441,10.535139034674616,-38.41815795898437,4.758631706237793,8.2131569814682,3.46712246506418,0.4964146614074707,17.994647979736328,76.8850812129974,31.909838382532076,18.523594093322757,120.28716125488282,0.22399999999999992,0.058809742888282196,0.0666666666666666,0.3333333333333333,0.45600000000000007,0.07444218298992361,0.3333333333333333,0.6666666666666666,0.10024139281151817,0.05384397292106763,0.0,0.2494438257849294,True,True,True,True
High Load,Random,utility,173,41,1.7835051546391754,7,76,90,19.36565467443913,9.476123465807714,-7.195914459228516,42.613694783051805,18.56550420975623,13.177853761662652,-7.107892751693726,50.42515056331953,0.24557297571165648,0.09746824044953346,0.0729584224248116,0.5381922950933874,7.88,2.2305500521964388,3,13,2.94,2.3519602827677963,0,8,-13.246216251430305,16.6438920405889,-61.65188446044922,6.429269218444825,7.947082373648882,5.756338657292883,-2.131909847259521,34.48898696899414,84.5881649274826,26.73938121877331,16.142156791687007,116.48291091918944,0.20066666666666663,0.06865388393982126,0.0,0.3333333333333333,0.4806666666666667,0.08490834829053975,0.3333333333333333,0.7333333333333333,0.12016984190758981,0.06156052854914386,0.0,0.2880329199292382,True,True,True,True
High Mobility,AI,baseline,147,35,1.5154639175257731,5,47,95,11.322599849209656,8.196151332743511,-10.817947190999984,29.904577687879403,12.449081993652507,8.606856919720581,-3.0611581429839134,34.421611388524376,0.199946933805087,0.09842415072280748,0.0746544936686247,0.5890722784756487,5.96,1.7861419401332668,1,12,2.87,1.5085949044917877,0,7,-17.601805109916953,23.229274798695386,-90.3206657409668,4.122244644165039,6.97028397500515,3.476431016033833,0.4566962122917175,18.3482723236084,56.04196398401258,29.60163841903114,6.4731290340423575,109.93749160766602,0.20133333333333328,0.0676559594122758,0.0666666666666666,0.3333333333333333,0.4713333333333333,0.08110073269703245,0.3333333333333333,0.7333333333333333,0.11621431766159086,0.05871305749295529,0.0,0.2880329199292382,True,True,True,True
High Mobility,AI,utility,206,67,2.1237113402061856,29,87,90,9.513999883009278,16.569327936030934,-26.09088740348816,37.9503244496882,14.462752335797122,25.030694482444684,-37.20647887388865,78.70074764887492,0.23917688295791467,0.10808326009861491,0.0686659033703728,0.5120571321118956,9.22,2.572504184209965,1,14,4.64,2.455749798067196,0,9,-48.845982328534426,39.72938650440982,-127.62502212524414,5.896744751930237,5.8716251273453235,6.8653221121387515,-17.66934585571289,25.682899475097656,82.76150494527813,27.745656053243493,11.067010116577146,115.7632095336914,0.17133333333333328,0.07536220060123829,0.0,0.3333333333333333,0.524,0.10552418459933026,0.3333333333333333,0.8,0.15167078613399468,0.0739286268436027,0.0,0.3311036539055853,True,True,True,True
High Mobility,Random,baseline,153,56,1.5454545454545454,27,28,98,8.42135531814769,8.866970037942592,-9.503197264671323,37.650174004832905,11.176827220156166,17.029367010475884,-21.02075974146525,65.35996389389038,0.1801400247785529,0.08003106042192305,0.0702264800537855,0.4194494664707132,5.46,1.9664868947111513,1,11,4.25,2.3022825739915267,0,10,-33.161504350364204,28.647491544187,-92.8236961364746,3.4030721187591557,5.1694302964210515,3.4732255238163905,-1.920434832572937,15.057376861572266,62.513715666770906,32.580246734220836,11.625669860839842,143.4820327758789,0.21066666666666659,0.0640706680552849,0.0666666666666666,0.3333333333333333,0.4626666666666667,0.0655255880828451,0.3333333333333333,0.6666666666666666,0.10843365905961047,0.05048875326734192,0.0,0.2372684056006958,True,True,True,True
High Mobility,Random,utility,226,69,2.282828282828283,34,95,97,4.80911470231406,16.50364435287641,-34.47861822446188,38.0843162616094,5.738462217481186,16.094865290423026,-25.7631733417511,51.42947933077812,0.2111645684086777,0.09322946443422778,0.0722255174443709,0.4788784889196227,9.1,2.195035721390843,3,13,4.2,2.040003961176586,0,8,-62.60904350534826,50.95063185623542,-166.7202941894531,2.8580576181411743,5.6461638239386955,4.473277551071357,-2.6437816619873047,18.868072509765625,77.63119850921628,30.28997839626605,9.804551696777336,118.6840599060058,0.17599999999999993,0.06996551980683507,0.0,0.3333333333333333,0.508,0.08776051486046918,0.3333333333333333,0.7333333333333333,0.1415756960112885,0.062021291153396774,0.0,0.2880329199292382,True,True,True,True
Low Load,AI,baseline,134,31,1.3814432989690721,0,37,97,12.61943902629416,6.385989910787389,0.4060643037160237,28.67422424952189,12.628253572525473,8.158412074765316,2.297341128190358,33.51178848495086,0.19566806530221964,0.1035284911472449,0.0718739008804102,0.5973410843170525,5.74,1.9312423384176751,1,13,2.41,1.6149240842775852,0,8,-5.039891409726813,6.677936580878937,-27.613261222839355,5.083561706542969,7.052876430749893,3.872946592886934,-0.5979140996932983,26.14858627319336,48.073251623153666,25.131026006856317,9.266859531402586,110.57445755004882,0.1913333333333333,0.07379712536869155,0.0,0.3333333333333333,0.48133333333333334,0.08662780791626384,0.3333333333333333,0.7333333333333333,0.12475332127123523,0.0635018840677428,0.0,0.2880329199292382,True,True,True,True
Low Load,AI,utility,132,37,1.4505494505494505,2,53,77,27.188246436220908,9.581147014251982,-0.513865053653717,48.5977916876475,31.911269188957903,15.552880275722554,-0.5363526344299316,67.55152734120686,0.3098230173372837,0.09718853524595789,0.1011841931287016,0.5318135508628026,6.29,1.7712348029758018,2,12,1.94,1.462114146630754,0,6,-4.703806761231272,7.7650990576604135,-38.282234573364256,5.18310227394104,12.017795329093934,5.370773722425063,2.767610788345337,25.219074249267575,95.9880661945343,28.805483015897792,16.782110595703124,139.67420806884766,0.20666666666666664,0.05955314332518656,0.0666666666666666,0.3333333333333333,0.4673333333333333,0.07899196566569688,0.3333333333333333,0.7333333333333333,0.11235820614890922,0.05523209024993912,0.0,0.2828427124746189,True,True,True,True
Low Load,Random,baseline,152,40,1.5353535353535352,7,46,99,19.33531334100974,7.926484428189922,3.452821016311645,37.24703926965594,23.590681765596386,14.913637156888884,-6.883914242188136,65.06559054056804,0.23573997595995888,0.07685745827236105,0.0819044179685143,0.4233631945872516,5.78,1.9518445044872224,2,11,2.35,1.4932508094081116,0,7,-8.446252116415648,11.359081854385945,-36.128239440917966,4.585073947906494,8.21738000869751,3.22511919595749,2.48307728767395,15.113677978515623,76.05502886962887,29.668813935366135,17.446763801574694,122.13159332275382,0.22599999999999995,0.0675995337979262,0.0,0.3333333333333333,0.4406666666666667,0.05985016832649106,0.3333333333333333,0.6666666666666666,0.09227355306059155,0.05062681105303827,0.0,0.2721655269759087,True,True,True,True
Low Load,Random,utility,165,38,1.71875,4,69,92,20.457580866056183,8.759424329139597,-1.6606427828470869,39.435588693618776,20.56354771844422,13.99369863470748,-8.635677178700766,54.81006129582723,0.24936635170566798,0.09173944849037848,0.0791757413664979,0.4737116461501643,7.66,2.31473104225519,4,13,2.76,2.045542085668839,0,8,-13.012365888472647,16.4711572699632,-51.22343139648437,6.079078435897827,8.121021853685379,4.628913347256784,-0.7498544454574585,20.88884735107422,90.78523690032956,21.808098387349908,31.422081756591787,116.1575714111328,0.2133333333333333,0.06564879518897745,0.0666666666666666,0.3333333333333333,0.4646666666666667,0.08499290258874653,0.3333333333333333,0.7333333333333333,0.10662176383803673,0.06173043563464531,0.0,0.2880329199292382,True,True,True,True
