scenario,fuzzer_type,algorithm,avg_jain_fairness,std_jain_fairness,avg_ho_rate,std_ho_rate,avg_throughput_5th,std_throughput_5th,total_vulns,vulnerabilities,vuln_diversity
Emergency (BS Outage),Strategic_Random,utility,0.1952142666219627,,19.0,,2.345056116580963,,2,"[['QoS Violation: Avg High Prio SINR = -0.69 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.20']]",2
High Cell Overlap,Adaptive_AI,baseline,0.1587367549010364,,0.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -8.41 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.16']]",2
High Cell Overlap,Adaptive_AI,ml_based,0.0575926681631875,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -5.31 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
High Cell Overlap,Adaptive_AI,utility,0.1409063163855125,,27.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.25 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.14']]",2
High Cell Overlap,Basic_AI,baseline,0.1709041317460467,,12.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.57 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.17']]",2
High Cell Overlap,Basic_AI,ml_based,0.1056263905236206,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -0.77 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']]",2
High Cell Overlap,Basic_AI,utility,0.1622644208483863,,28.0,,1.96387682557106,,2,"[['QoS Violation: Avg High Prio SINR = 2.91 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.16']]",2
High Cell Overlap,Naive_Random,baseline,0.0728084401100226,,19.0,,2.9768743991851805,,1,[['Unfairness: Jain Index = 0.07']],1
High Cell Overlap,Naive_Random,ml_based,0.2262824747949835,,22.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.22 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.23']]",2
High Cell Overlap,Naive_Random,utility,0.1967583527057187,,22.0,,3.3766461491584776,,2,"[['QoS Violation: Avg High Prio SINR = 3.15 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.20']]",2
High Cell Overlap,Strategic_Random,baseline,0.2805262160634865,,19.0,,2.669330537319184,,2,"[['QoS Violation: Avg High Prio SINR = 2.05 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.28']]",2
High Cell Overlap,Strategic_Random,ml_based,0.1997699855947835,,26.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.33 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.20']]",2
High Cell Overlap,Strategic_Random,utility,0.0846196291403872,,23.0,,4.241769623756409,,1,[['Unfairness: Jain Index = 0.08']],1
High Load,Adaptive_AI,baseline,0.0937290438333383,,14.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.84 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']]",2
High Load,Adaptive_AI,ml_based,0.0363520187552533,,24.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -9.30 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
High Load,Adaptive_AI,utility,0.0986324761337678,,27.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.17 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']]",2
High Load,Basic_AI,baseline,0.0664323812607739,,14.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.00 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
High Load,Basic_AI,ml_based,0.0505156973609514,,26.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -7.61 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
High Load,Basic_AI,utility,0.1325484261945096,,25.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.97 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.13']]",2
High Load,Naive_Random,baseline,0.1003481261336051,,9.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.46 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']]",2
High Load,Naive_Random,ml_based,0.0883295019497228,,25.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -7.09 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']]",2
High Load,Naive_Random,utility,0.055780064781352,,20.0,,1.9398169279098512,,2,"[['QoS Violation: Avg High Prio SINR = -0.60 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
High Load,Strategic_Random,baseline,0.0610730445033711,,16.0,,1.8810484409332275,,1,[['Unfairness: Jain Index = 0.06']],1
High Load,Strategic_Random,ml_based,0.0790196594168275,,25.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.74 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
High Load,Strategic_Random,utility,0.0706384886965301,,25.0,,2.1592974781990053,,2,"[['QoS Violation: Avg High Prio SINR = -0.53 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
High Mobility,Adaptive_AI,baseline,0.1232072605529425,,12.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -5.52 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']]",2
High Mobility,Adaptive_AI,ml_based,0.03998107728665,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -9.56 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
High Mobility,Adaptive_AI,utility,0.129102601283338,,30.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.95 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.13']]",2
High Mobility,Basic_AI,baseline,0.0419755763734886,,13.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.15 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
High Mobility,Basic_AI,ml_based,0.0528944902676389,,27.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -0.88 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
High Mobility,Basic_AI,utility,0.1570068664739769,,25.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.88 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.16']]",2
High Mobility,Naive_Random,baseline,0.1084093881734348,,14.0,,1.9765271425247195,,1,[['Unfairness: Jain Index = 0.11']],1
High Mobility,Naive_Random,ml_based,0.0593049050647233,,27.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.09 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
High Mobility,Naive_Random,utility,0.0753517375968653,,22.0,,2.58405499458313,,2,"[['QoS Violation: Avg High Prio SINR = -3.92 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
High Mobility,Strategic_Random,baseline,0.1015056135233949,,12.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.93 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']]",2
High Mobility,Strategic_Random,ml_based,0.114158560026726,,25.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -1.88 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']]",2
High Mobility,Strategic_Random,utility,0.1696998712174224,,19.0,,3.487625527381897,,2,"[['QoS Violation: Avg High Prio SINR = -1.21 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.17']]",2
Interference-Heavy,Adaptive_AI,baseline,0.0748775327471699,,18.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.45 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
